type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,台中市,第5選區,,劉國隆,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-4-%E5%8A%89%E5%9C%8B%E9%9A%86.jpg,台灣團結聯盟,M,57,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303142313230363036393933,24.160408,120.702967
分區立委,台中市,第6選區,西區 中區 東區 南區,黃國書,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%BB%83%E5%9C%8B%E6%9B%B8.jpg,民主進步黨,M,52,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314d313230393335333831,24.136912,120.674471
分區立委,台中市,第6選區,,沈智慧,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%B2%88%E6%99%BA%E6%85%A7.jpg,中國國民黨,F,59,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323230363230373234,24.136912,120.674471
分區立委,台中市,第7選區,太平區 大里區25里,何欣純,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-1-%E4%BD%95%E6%AC%A3%E7%B4%94.jpg,民主進步黨,F,43,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323231393931383735,24.109212,120.712361
分區立委,台中市,第7選區,,賴義煌,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-2-%E8%B3%B4%E7%BE%A9%E9%8D%A0.jpg,中國國民黨,M,49,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e313231373131373630,24.109212,120.712361
分區立委,台中市,第8選區,豐原區 石岡區 新社區 東勢區 和平區,江啟臣,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%B1%9F%E5%95%9F%E8%87%A3.jpg,中國國民黨,M,44,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313230303937373431,24.239403,120.852408
分區立委,台中市,第8選區,,謝志忠,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-3-%E8%AC%9D%E5%BF%97%E5%BF%A0.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303152313231393134373337,24.239403,120.852408
分區立委,台南市,第1選區,後壁區 白河區 北門區 學甲區 鹽水區 新營區 柳營區 東山區 將軍區 下營區 六甲區 官田區,葉宜津,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%91%89%E5%AE%9C%E6%B4%A5.jpg,民主進步黨,F,56,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323231373530303631,23.175663,120.0768
分區立委,台南市,第1選區,,黃瑞坤,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%BB%83%E7%91%9E%E5%9D%A4.jpg,中國國民黨,M,46,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303152313230353734303838,23.175663,120.0768
分區立委,台南市,第2選區,七股區 佳里區 麻豆區 善化區 大內區 玉井區 楠西區 西港區 安定區 新市區 山上區 新化區 左鎮區 南化區,黃耀盛,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8D%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E9%BB%83%E8%80%80%E7%9B%9B.jpg,中國國民黨,M,42,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303152313232313836393937,23.167052,120.324041
