type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,桃園市,第3選區,中壢市69里,陳學聖,http://g0v-data.github.io/cec-crawler/images/000-%E6%A1%83%E5%9C%92%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-5-%E9%99%B3%E5%AD%B8%E8%81%96.jpg,中國國民黨,M,59,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313231363731333430,24.91262,121.14142
分區立委,桃園市,第4選區,,鄭寶清,http://g0v-data.github.io/cec-crawler/images/000-%E6%A1%83%E5%9C%92%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-2-%E9%84%AD%E5%AF%B6%E6%B8%85.jpg,民主進步黨,M,61,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303148313031383630363838,25.03892,121.21353
分區立委,桃園市,第5選區,平鎮市 龍潭鄉,呂玉玲,http://g0v-data.github.io/cec-crawler/images/000-%E6%A1%83%E5%9C%92%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-1-%E5%91%82%E7%8E%89%E7%8E%B2.jpg,中國國民黨,F,55,專科,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303148323230353538363035,24.72758,121.21969
分區立委,桃園市,第6選區,,趙正宇,http://g0v-data.github.io/cec-crawler/images/000-%E6%A1%83%E5%9C%92%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-2-%E8%B6%99%E6%AD%A3%E5%AE%87.jpg,無黨藉,M,50,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303148313231313531353535,24.89577,121.30142
分區立委,新竹縣,全縣,,林為洲,http://g0v-data.github.io/cec-crawler/images/004-%E6%96%B0%E7%AB%B9%E7%B8%A3-%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%9E%97%E7%82%BA%E6%B4%B2.jpg,中國國民黨,M,55,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314a313230393737373334,24.74371,121.09748
分區立委,新竹市,全市,,柯建銘,http://g0v-data.github.io/cec-crawler/images/018-%E6%96%B0%E7%AB%B9%E5%B8%82-%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%9F%AF%E5%BB%BA%E9%8A%98.jpg,民主進步黨,M,65,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314a313030343534323637,24.82226,120.90866
分區立委,苗栗縣,第1選區,竹南鎮 造橋鄉 後龍鎮 西湖鄉 通霄鎮 銅鑼鄉 苑裡鎮 三義鄉,陳超明,http://g0v-data.github.io/cec-crawler/images/005-%E8%8B%97%E6%A0%97%E7%B8%A3-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E9%99%B3%E8%B6%85%E6%98%8E.jpg,中國國民黨,M,65,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314b313031343732303931,24.57461,120.71639
分區立委,苗栗縣,第2選區,,徐志榮,http://g0v-data.github.io/cec-crawler/images/005-%E8%8B%97%E6%A0%97%E7%B8%A3-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%BE%90%E5%BF%97%E6%A6%AE.jpg,中國國民黨,M,61,高中,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314b313031313037313739,24.48527,120.98419
分區立委,彰化縣,第1選區,伸港鄉 線西鄉 和美鎮 鹿港鎮 福興鄉 秀水鄉,王惠美,http://g0v-data.github.io/cec-crawler/images/007-%E5%BD%B0%E5%8C%96%E7%B8%A3-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-2-%E7%8E%8B%E6%83%A0%E7%BE%8E.jpg,中國國民黨,F,48,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e323230343733383235,24.11788,120.29068
分區立委,彰化縣,第2選區,,黃秀芳,http://g0v-data.github.io/cec-crawler/images/007-%E5%BD%B0%E5%8C%96%E7%B8%A3-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%BB%83%E7%A7%80%E8%8A%B3.jpg,民主進步黨,F,45,大學,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e323231333031333535,24.0167,120.42274
分區立委,彰化縣,第3選區,,洪宗熠,http://g0v-data.github.io/cec-crawler/images/007-%E5%BD%B0%E5%8C%96%E7%B8%A3-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-5-%E6%B4%AA%E5%AE%97%E7%86%A0.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e313232333733333434,23.77847,120.47675
分區立委,彰化縣,第4選區,大村鄉 員林鎮 永靖鄉 社頭鄉 田尾鄉 田中鎮 二水鄉,陳素月,http://g0v-data.github.io/cec-crawler/images/007-%E5%BD%B0%E5%8C%96%E7%B8%A3-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%99%B3%E7%B4%A0%E6%9C%88.jpg,民主進步黨,F,50,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314d323230383130313835,23.87836,120.57975
分區立委,南投縣,第1選區,草屯鎮 國姓鄉 埔里鎮 仁愛鄉 中寮鄉 魚池鄉,馬文君,http://g0v-data.github.io/cec-crawler/images/008-%E5%8D%97%E6%8A%95%E7%B8%A3-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%A6%AC%E6%96%87%E5%90%9B.jpg,中國國民黨,F,51,碩士,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314d323230323636353334,23.87202,120.92445
分區立委,南投縣,第2選區,南投市 名間鄉 集集鎮 竹山鎮 鹿谷鄉 水里鄉 信義鄉,許淑華,http://g0v-data.github.io/cec-crawler/images/008-%E5%8D%97%E6%8A%95%E7%B8%A3-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E8%A8%B1%E6%B7%91%E8%8F%AF.jpg,中國國民黨,F,41,碩士,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314d323230313737343839,23.84256,120.73357
分區立委,雲林縣,第1選區,,蘇治芬,http://g0v-data.github.io/cec-crawler/images/009-%E9%9B%B2%E6%9E%97%E7%B8%A3-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E8%98%87%E6%B2%BB%E8%8A%AC.jpg,民主進步黨,F,63,高中,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303150323030393230323830,23.72061,120.16914
